date,Year,Month,Weekday Name,drug_code,ddd_sales,drug_name,abc_class,ved_class,atc_desc,priority,day_of_week,is_weekend,quarter,week_of_year
13/02/2014,2014,2,Thursday,M01AB,4.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,7
14/02/2014,2014,2,Friday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,7
15/02/2014,2014,2,Saturday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,7
16/02/2014,2014,2,Sunday,M01AB,0,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,7
17/02/2014,2014,2,Monday,M01AB,7.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,8
18/02/2014,2014,2,Tuesday,M01AB,7.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,8
19/02/2014,2014,2,Wednesday,M01AB,3.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,8
20/02/2014,2014,2,Thursday,M01AB,7,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,8
21/02/2014,2014,2,Friday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,8
22/02/2014,2014,2,Saturday,M01AB,7,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,8
23/02/2014,2014,2,Sunday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,8
24/02/2014,2014,2,Monday,M01AB,7,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,9
25/02/2014,2014,2,Tuesday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,9
26/02/2014,2014,2,Wednesday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,9
27/02/2014,2014,2,Thursday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,9
28/02/2014,2014,2,Friday,M01AB,7,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,9
01/03/2014,2014,3,Saturday,M01AB,6.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,9
02/03/2014,2014,3,Sunday,M01AB,3.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,9
03/03/2014,2014,3,Monday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,10
04/03/2014,2014,3,Tuesday,M01AB,5.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,10
05/03/2014,2014,3,Wednesday,M01AB,3.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,10
06/03/2014,2014,3,Thursday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,10
07/03/2014,2014,3,Friday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,10
08/03/2014,2014,3,Saturday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,10
09/03/2014,2014,3,Sunday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,10
10/03/2014,2014,3,Monday,M01AB,6.68,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,11
11/03/2014,2014,3,Tuesday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,11
12/03/2014,2014,3,Wednesday,M01AB,6.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,11
13/03/2014,2014,3,Thursday,M01AB,2.31,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,11
14/03/2014,2014,3,Friday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,11
15/03/2014,2014,3,Saturday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,11
16/03/2014,2014,3,Sunday,M01AB,2.68,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,11
17/03/2014,2014,3,Monday,M01AB,8.68,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,12
18/03/2014,2014,3,Tuesday,M01AB,8,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,12
19/03/2014,2014,3,Wednesday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,12
20/03/2014,2014,3,Thursday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,12
21/03/2014,2014,3,Friday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,12
22/03/2014,2014,3,Saturday,M01AB,3.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,12
23/03/2014,2014,3,Sunday,M01AB,6.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,12
24/03/2014,2014,3,Monday,M01AB,5.68,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,13
25/03/2014,2014,3,Tuesday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,1,13
26/03/2014,2014,3,Wednesday,M01AB,2.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,1,13
27/03/2014,2014,3,Thursday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,1,13
28/03/2014,2014,3,Friday,M01AB,2.67,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,1,13
29/03/2014,2014,3,Saturday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,1,13
30/03/2014,2014,3,Sunday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,1,13
31/03/2014,2014,3,Monday,M01AB,5.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,1,14
01/04/2014,2014,4,Tuesday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,14
02/04/2014,2014,4,Wednesday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,14
03/04/2014,2014,4,Thursday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,14
04/04/2014,2014,4,Friday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,14
05/04/2014,2014,4,Saturday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,14
06/04/2014,2014,4,Sunday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,14
07/04/2014,2014,4,Monday,M01AB,6.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,15
08/04/2014,2014,4,Tuesday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,15
09/04/2014,2014,4,Wednesday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,15
10/04/2014,2014,4,Thursday,M01AB,3.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,15
11/04/2014,2014,4,Friday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,15
12/04/2014,2014,4,Saturday,M01AB,7.02,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,15
13/04/2014,2014,4,Sunday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,15
14/04/2014,2014,4,Monday,M01AB,1.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,16
15/04/2014,2014,4,Tuesday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,16
16/04/2014,2014,4,Wednesday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,16
17/04/2014,2014,4,Thursday,M01AB,5.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,16
18/04/2014,2014,4,Friday,M01AB,7,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,16
19/04/2014,2014,4,Saturday,M01AB,7.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,16
20/04/2014,2014,4,Sunday,M01AB,0,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,16
21/04/2014,2014,4,Monday,M01AB,1.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,17
22/04/2014,2014,4,Tuesday,M01AB,5.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,17
23/04/2014,2014,4,Wednesday,M01AB,6.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,17
24/04/2014,2014,4,Thursday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,17
25/04/2014,2014,4,Friday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,17
26/04/2014,2014,4,Saturday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,17
27/04/2014,2014,4,Sunday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,17
28/04/2014,2014,4,Monday,M01AB,1.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,18
29/04/2014,2014,4,Tuesday,M01AB,3.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,18
30/04/2014,2014,4,Wednesday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,18
01/05/2014,2014,5,Thursday,M01AB,0,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,18
02/05/2014,2014,5,Friday,M01AB,7.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,18
03/05/2014,2014,5,Saturday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,18
04/05/2014,2014,5,Sunday,M01AB,1.67,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,18
05/05/2014,2014,5,Monday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,19
06/05/2014,2014,5,Tuesday,M01AB,7.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,19
07/05/2014,2014,5,Wednesday,M01AB,3.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,19
08/05/2014,2014,5,Thursday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,19
09/05/2014,2014,5,Friday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,19
10/05/2014,2014,5,Saturday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,19
11/05/2014,2014,5,Sunday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,19
12/05/2014,2014,5,Monday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,20
13/05/2014,2014,5,Tuesday,M01AB,3.68,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,20
14/05/2014,2014,5,Wednesday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,20
15/05/2014,2014,5,Thursday,M01AB,2.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,20
16/05/2014,2014,5,Friday,M01AB,5.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,20
17/05/2014,2014,5,Saturday,M01AB,2.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,20
18/05/2014,2014,5,Sunday,M01AB,3.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,20
19/05/2014,2014,5,Monday,M01AB,8.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,21
20/05/2014,2014,5,Tuesday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,21
21/05/2014,2014,5,Wednesday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,21
22/05/2014,2014,5,Thursday,M01AB,3.68,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,21
23/05/2014,2014,5,Friday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,21
24/05/2014,2014,5,Saturday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,21
25/05/2014,2014,5,Sunday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,21
26/05/2014,2014,5,Monday,M01AB,2.68,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,22
27/05/2014,2014,5,Tuesday,M01AB,0,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,22
28/05/2014,2014,5,Wednesday,M01AB,1.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,22
29/05/2014,2014,5,Thursday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,22
30/05/2014,2014,5,Friday,M01AB,3.02,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,22
31/05/2014,2014,5,Saturday,M01AB,5.67,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,22
01/06/2014,2014,6,Sunday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,22
02/06/2014,2014,6,Monday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,23
03/06/2014,2014,6,Tuesday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,23
04/06/2014,2014,6,Wednesday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,23
05/06/2014,2014,6,Thursday,M01AB,0.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,23
06/06/2014,2014,6,Friday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,23
07/06/2014,2014,6,Saturday,M01AB,9,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,23
08/06/2014,2014,6,Sunday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,23
09/06/2014,2014,6,Monday,M01AB,6.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,24
10/06/2014,2014,6,Tuesday,M01AB,8.68,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,24
11/06/2014,2014,6,Wednesday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,24
12/06/2014,2014,6,Thursday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,24
13/06/2014,2014,6,Friday,M01AB,1,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,24
14/06/2014,2014,6,Saturday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,24
15/06/2014,2014,6,Sunday,M01AB,0.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,24
16/06/2014,2014,6,Monday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,25
17/06/2014,2014,6,Tuesday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,25
18/06/2014,2014,6,Wednesday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,25
19/06/2014,2014,6,Thursday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,25
20/06/2014,2014,6,Friday,M01AB,7.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,25
21/06/2014,2014,6,Saturday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,25
22/06/2014,2014,6,Sunday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,25
23/06/2014,2014,6,Monday,M01AB,2.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,26
24/06/2014,2014,6,Tuesday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,2,26
25/06/2014,2014,6,Wednesday,M01AB,8,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,2,26
26/06/2014,2014,6,Thursday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,2,26
27/06/2014,2014,6,Friday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,2,26
28/06/2014,2014,6,Saturday,M01AB,0.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,2,26
29/06/2014,2014,6,Sunday,M01AB,0,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,2,26
30/06/2014,2014,6,Monday,M01AB,6,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,2,27
01/07/2014,2014,7,Tuesday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,3,27
02/07/2014,2014,7,Wednesday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,3,27
03/07/2014,2014,7,Thursday,M01AB,2.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,3,27
04/07/2014,2014,7,Friday,M01AB,4.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,3,27
05/07/2014,2014,7,Saturday,M01AB,3.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,3,27
06/07/2014,2014,7,Sunday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,3,27
07/07/2014,2014,7,Monday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,3,28
08/07/2014,2014,7,Tuesday,M01AB,6.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,3,28
09/07/2014,2014,7,Wednesday,M01AB,3,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,3,28
10/07/2014,2014,7,Thursday,M01AB,2.33,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,3,28
11/07/2014,2014,7,Friday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,3,28
12/07/2014,2014,7,Saturday,M01AB,8.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,5,1,3,28
13/07/2014,2014,7,Sunday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,6,1,3,28
14/07/2014,2014,7,Monday,M01AB,5,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,0,0,3,29
15/07/2014,2014,7,Tuesday,M01AB,3.34,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,1,0,3,29
16/07/2014,2014,7,Wednesday,M01AB,4,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,2,0,3,29
17/07/2014,2014,7,Thursday,M01AB,2,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,3,0,3,29
18/07/2014,2014,7,Friday,M01AB,9,Anti-inflammatory (acetic),B,E,NSAIDs — Diclofenac group,B-E,4,0,3,29
